"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Wilson",0.005,10000,0.01,10000,0.6006,0.00275979504783286,0.00273532751861387,0,0.00501789,0.0016451485037102,50.1789,16.451485037102
"vasicek","Agresti_Coull",0.005,10000,0.01,10000,0.6006,0.0027865295616027,0.00276162964580186,0,0.00501789,0.0016451485037102,50.1789,16.451485037102
"vasicek","Wald",0.005,10000,0.05,10000,0.3067,0.00260928602044252,0.00250482783776211,0.0035,0.00499501,0.0035586630225621,49.9501,35.586630225621
"vasicek","Clopper_Pearson",0.005,10000,0.05,10000,0.315,0.00271981354530836,0.00261425564175374,0,0.00499501,0.0035586630225621,49.9501,35.586630225621
"vasicek","Wilson",0.005,10000,0.05,10000,0.3079,0.00264032633505357,0.00253314027134564,0,0.00499501,0.0035586630225621,49.9501,35.586630225621
"vasicek","Agresti_Coull",0.005,10000,0.05,10000,0.3079,0.00267097042823852,0.0025615991767626,5e-04,0.00499501,0.0035586630225621,49.9501,35.586630225621
"vasicek","Wald",0.005,10000,0.1,10000,0.2128,0.00246370896519696,0.00224810859361671,0.034,0.0050309,0.00554333185393084,50.309,55.4333185393084
"vasicek","Clopper_Pearson",0.005,10000,0.1,10000,0.2199,0.00257924090075744,0.00235870983635083,0.0033,0.0050309,0.00554333185393084,50.309,55.4333185393084
"vasicek","Wilson",0.005,10000,0.1,10000,0.214,0.00250420565312377,0.0022798171621937,0.0033,0.0050309,0.00554333185393084,50.309,55.4333185393084
"vasicek","Agresti_Coull",0.005,10000,0.1,10000,0.214,0.00254029466329415,0.00231149847171206,0.0101,0.0050309,0.00554333185393084,50.309,55.4333185393084
"vasicek","Wald",0.005,10000,0.2,10000,0.1265,0.00217105953673256,0.00175129115867185,0.1612,0.00506945,0.00896132145532804,50.6945,89.6132145532804
"vasicek","Clopper_Pearson",0.005,10000,0.2,10000,0.1309,0.00230834683559772,0.00186508936789335,0.0455,0.00506945,0.00896132145532804,50.6945,89.6132145532804
"vasicek","Wilson",0.005,10000,0.2,10000,0.1284,0.00224440855410036,0.00179223895210732,0.0455,0.00506945,0.00896132145532804,50.6945,89.6132145532804
"vasicek","Agresti_Coull",0.005,10000,0.2,10000,0.1284,0.00229014312082505,0.00183257790042044,0.0883,0.00506945,0.00896132145532804,50.6945,89.6132145532804
"vasicek","Wald",0.005,10000,0.25,10000,0.1072,0.00200355835589521,0.00151704251076819,0.242,0.00505627,0.0114190046875332,50.5627,114.190046875332
